[103]	validate-mlogloss:0.13490	train-mlogloss:0.06855
[104]	validate-mlogloss:0.13369	train-mlogloss:0.06697
[105]	validate-mlogloss:0.13237	train-mlogloss:0.06541
[106]	validate-mlogloss:0.13141	train-mlogloss:0.06386
[107]	validate-mlogloss:0.13047	train-mlogloss:0.06240
[108]	validate-mlogloss:0.12944	train-mlogloss:0.06094
[109]	validate-mlogloss:0.12847	train-mlogloss:0.05959
[110]	validate-mlogloss:0.12732	train-mlogloss:0.05820
[111]	validate-mlogloss:0.12639	train-mlogloss:0.05686
[112]	validate-mlogloss:0.12544	train-mlogloss:0.05555
[113]	validate-mlogloss:0.12508	train-mlogloss:0.05436
[114]	validate-mlogloss:0.12453	train-mlogloss:0.05317
[115]	validate-mlogloss:0.12381	train-mlogloss:0.05201
[116]	validate-mlogloss:0.12312	train-mlogloss:0.05082
[117]	validate-mlogloss:0.12240	train-mlogloss:0.04968
[118]	validate-mlogloss:0.12167	train-mlogloss:0.04860
[119]	validate-mlogloss:0.12111	train-mlogloss:0.04751
[120]	validate-mlogloss:0.12088	train-mlogloss:0.04641
[121]	validate-mlogloss:0.12048	train-mlogloss:0.04538
[122]	validate-mlogloss:0.11968	train-mlogloss:0.04434
[123]	validate-mlogloss:0.11927	train-mlogloss:0.04337
[124]	validate-mlogloss:0.11889	train-mlogloss:0.04240
[125]	validate-mlogloss:0.11835	train-mlogloss:0.04149
[126]	validate-mlogloss:0.11796	train-mlogloss:0.04054
[127]	validate-mlogloss:0.11752	train-mlogloss:0.03967
[128]	validate-mlogloss:0.11684	train-mlogloss:0.03886
[129]	validate-mlogloss:0.11663	train-mlogloss:0.03799
[130]	validate-mlogloss:0.11605	train-mlogloss:0.03721
[131]	validate-mlogloss:0.11602	train-mlogloss:0.03649
[132]	validate-mlogloss:0.11587	train-mlogloss:0.03571
[133]	validate-mlogloss:0.11568	train-mlogloss:0.03497
[134]	validate-mlogloss:0.11514	train-mlogloss:0.03423
[135]	validate-mlogloss:0.11469	train-mlogloss:0.03352
[136]	validate-mlogloss:0.11400	train-mlogloss:0.03284
[137]	validate-mlogloss:0.11367	train-mlogloss:0.03218
[138]	validate-mlogloss:0.11343	train-mlogloss:0.03155
[139]	validate-mlogloss:0.11320	train-mlogloss:0.03089
[140]	validate-mlogloss:0.11292	train-mlogloss:0.03028
[141]	validate-mlogloss:0.11279	train-mlogloss:0.02962
[142]	validate-mlogloss:0.11272	train-mlogloss:0.02903
[143]	validate-mlogloss:0.11255	train-mlogloss:0.02851
[144]	validate-mlogloss:0.11229	train-mlogloss:0.02796
[145]	validate-mlogloss:0.11224	train-mlogloss:0.02742
[146]	validate-mlogloss:0.11210	train-mlogloss:0.02686
[147]	validate-mlogloss:0.11205	train-mlogloss:0.02637
[148]	validate-mlogloss:0.11247	train-mlogloss:0.02590
[149]	validate-mlogloss:0.11227	train-mlogloss:0.02541
[150]	validate-mlogloss:0.11256	train-mlogloss:0.02490
[151]	validate-mlogloss:0.11252	train-mlogloss:0.02441
[152]	validate-mlogloss:0.11242	train-mlogloss:0.02393
[153]	validate-mlogloss:0.11236	train-mlogloss:0.02351
[154]	validate-mlogloss:0.11240	train-mlogloss:0.02310
[155]	validate-mlogloss:0.11258	train-mlogloss:0.02265
[156]	validate-mlogloss:0.11260	train-mlogloss:0.02223
[157]	validate-mlogloss:0.11267	train-mlogloss:0.02184
[158]	validate-mlogloss:0.11251	train-mlogloss:0.02145
[159]	validate-mlogloss:0.11252	train-mlogloss:0.02107
[160]	validate-mlogloss:0.11216	train-mlogloss:0.02072
